SCALE,SCALE_IS_HEIGHT_DP,COMPRESSION_QUALITY,OUT_COMPRESSION,PLATFORM,UPSCALING_ALGO,DOWNSCALING_ALGO,ROUNDING_MODE,SKIP_UPSCALING,SKIP_EXISTING,ANDROID_INCLUDE_LDPI_TVDPI,VERBOSE,ANDROID_MIPMAP_INSTEAD_OF_DRAWABLE,ANTI_ALIASING,POST_PROCESSOR_PNG_CRUSH,POST_PROCESSOR_WEBP,DRY_RUN,POST_PROCESSOR_MOZ_JPEG,KEEP_ORIGINAL_POST_PROCESSED_FILES,IOS_CREATE_IMAGESET_FOLDERS,CLEAN,HALT_ON_ERROR,time
0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,1,2.087
0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,2.091
0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,10.994
0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,19.327
0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,2.089
1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,182.114
0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,14.963
1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,0,0,2.094
0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,10.994
0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,2.097
1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,2.094
1,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,2.089
0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,2.091
1,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,2.094
0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,2.087
1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,2.088
1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,3.547
0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,11.603
0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,2.091
1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,9.377
1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,8.755
1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3.111
0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,2.097
1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,3.113
1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,2.087
0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,26.286
1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,2.089
0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,2.092
1,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,79.292
1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,196.586
1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,2.089
0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,2.091
0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,2.091
0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,1,2.088
0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,2.09
0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,10.997
1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,2.097
1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,181.085
1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,182.115
0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,2.092
1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,82.914
0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,2.088
1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,8.702
0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,2.09
0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,14.19
0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,11.601
0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,2.097
1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,2.091
1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,76.669
0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,2.089
1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,3.11
0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,2.097
1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,3.113
1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,2.09
1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,182.114
1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,2.091
0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,2.088
1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,79.295
0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,2.091
0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,11.603
1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,2.087
0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,11.603
0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,10.994
0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,2.087
0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,10.994
1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,8.755
0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,2.087
0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,2.089
1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,2.097
0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2.09
1,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,2.097
1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,2.09
1,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,2.091
1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,85.592
1,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,2.097
1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,85.592
1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,8.755
0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,2.094
1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,76.669
1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,2.088
1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,2.09
0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,11.601
0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,24.513
0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,24.513
1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,3.549
0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,2.091
0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,14.184
1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,2.088
1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,2.097
0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,2.091
0,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,1,20.32
1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,2.097
0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,2.094
1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,2.088
1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,1,3.114
1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,2.091
0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,10.925
0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,10.989
1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,166.756
0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,2.097
1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,8.755
1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,85.595
0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,2.091
0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,19.326
0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,11.667
0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,14.184
1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,2.09
1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,2.089
0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,11.601
1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,158.615
1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,2.094
1,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,2.089
0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,31.216
0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,2.09
0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,2.097
0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,2.097
0,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,31.216
1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,2.088
1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,2.09
1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,3.115
0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,11.67
1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,182.114
0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,2.091
1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,2.097
1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,8.756
0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,19.44
1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,2.091
1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,2.097
1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,2.089
0,0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,2.091
0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,10.925
1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,3.547
1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,82.917
1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,82.917
1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,3.544
0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,2.089
1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,2.087
0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,11.67
0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,2.088
1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,182.114
0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,2.088
0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,1,2.087
1,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,2.088
0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,11.603
0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,14.184
0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,10.997
1,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,2.091
1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,182.114
1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,79.295
0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,2.094
0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,10.989
1,1,1,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,2.094
0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,2.089
1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,2.094
0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,19.441
1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,9.425
1,1,1,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,3.111
1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,76.672
0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,10.928
0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,29.574
