DUPLICATES,SEQUENTIAL,MAX_MEMORY,ENV_SHARED_CACHE,REPLICATED,ENV_IS_LOCKING,CACHE_MODE,TEMPORARY,JE_FILE_LEVEL,ENV_BACKGROUND_READ_LIMIT,LOCK_DEADLOCK_DETECT,TXN_SERIALIZABLE_ISOLATION,JE_DURABILITY,ADLER32_CHUNK_SIZE,CHECKPOINTER_BYTES_INTERVAL,LOCK_DEADLOCK_DETECT_DELAY,time
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.344
1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,4.458
1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,4.844
0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,18.482
0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,21.458
1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,4.845
0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,11.145
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18.651
0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,11.109
0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,10.069
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,4.027
1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,7.87
1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,7.978
0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,27.401
0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,10.579
0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,10.076
0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,6.47
0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,10.746
0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,21.508
1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,4.471
0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,21.458
1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,7.267
0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,10.741
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10.753
0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,11.104
0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,10.746
1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,14.614
1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,4.845
0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,10.612
0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,18.344
1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,0,23.418
0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,21.32
0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,10.069
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,10.612
1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,8.223
1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,6.687
1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,14.662
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,14.571
1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,4.027
0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,10.612
0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,4.643
0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,11.676
1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,7.265
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4.027
