PLATFORM,DRY_RUN,IOS_CREATE_IMAGESET_FOLDERS,SKIP_UPSCALING,ANDROID_MIPMAP_INSTEAD_OF_DRAWABLE,ANDROID_INCLUDE_LDPI_TVDPI,SCALE,time
0,0,0,0,0,0,0,0.826
0,0,0,0,0,1,1,2.1
0,0,0,1,0,1,0,0.912
1,0,0,0,0,0,1,0.659
0,0,0,0,1,0,0,0.852
1,0,1,0,0,0,0,0.224
0,0,0,0,1,1,1,2.2
0,0,0,0,1,1,0,1.238
0,0,0,1,1,1,0,0.952
1,0,0,0,0,0,0,0.221
0,0,0,0,1,0,1,1.613
0,0,0,1,1,0,0,0.436
0,0,0,1,1,1,1,0.003
1,0,1,0,0,0,1,0.671
0,0,0,1,0,0,0,0.531
0,0,0,1,0,1,1,0
0,0,0,0,0,1,0,1.253
0,0,0,0,0,0,1,2.601
1,1,0,1,0,0,1,0
