PLATFORM,DRY_RUN,IOS_CREATE_IMAGESET_FOLDERS,SKIP_UPSCALING,ANDROID_MIPMAP_INSTEAD_OF_DRAWABLE,ANDROID_INCLUDE_LDPI_TVDPI,SCALE,time
0,0,0,0,0,0,0,7.383
0,0,0,0,0,1,1,23.124
0,0,0,1,0,1,0,7.527
0,0,0,0,1,0,0,7.446
1,0,0,0,0,0,1,9.552
1,0,1,0,0,0,0,3.312
0,0,0,0,1,1,1,23.148
0,0,0,0,1,1,0,10.186
0,0,0,1,1,1,0,7.445
1,1,0,0,0,0,1,0
1,0,0,0,0,0,0,3.375
0,0,0,0,1,0,1,19.241
0,0,0,1,1,0,0,4.771
0,0,0,1,1,1,1,2.186
1,0,1,0,0,0,1,10.209
0,0,0,1,0,0,0,4.746
0,0,0,1,0,1,1,2.2
0,0,0,0,0,1,0,10.153
0,0,0,0,0,0,1,18.426
