CACHE_MODE,MAX_MEMORY,TEMPORARY,DUPLICATES,SEQUENTIAL,ENV_IS_LOCKING,time
0,0,0,0,0,0,0.147
0,1,1,0,0,0,0
1,1,1,0,1,1,0
0,0,1,1,0,0,0.252
0,0,1,1,1,1,0.044
0,1,1,1,1,1,0
0,0,1,0,0,1,1.702
0,1,0,1,0,0,0.068
0,1,1,1,1,0,0
0,1,1,0,0,1,0
0,0,1,0,0,0,1.598
0,0,0,1,0,0,0.061
0,1,0,1,0,1,0.074
1,1,1,1,1,0,0
1,0,1,0,0,1,1.783
1,0,1,1,1,1,0.037
0,0,0,0,1,0,0.058
1,1,1,1,1,1,0
0,1,0,0,1,1,0.053
0,1,0,0,1,0,0.05
0,0,0,0,1,1,0.06
1,0,1,1,1,0,0.032
1,1,1,0,0,0,0
1,0,1,0,0,0,1.767
1,1,1,0,0,1,0
1,0,1,1,0,1,0.221
0,1,0,0,0,1,0.092
1,0,1,0,1,0,0.034
0,0,0,1,0,1,0.063
0,1,1,1,0,1,0
0,0,1,1,1,0,0.039
0,0,1,1,0,1,0.223
1,1,1,1,0,0,0
0,1,0,1,1,1,0.045
0,0,0,1,1,0,0.047
0,0,1,0,1,1,0.053
0,1,1,1,0,0,0
0,1,0,0,0,0,0.087
1,0,1,1,0,0,0.307
1,1,1,1,0,1,0
0,1,0,1,1,0,0.06
1,0,1,0,1,1,0.032
0,0,0,1,1,1,0.055
1,1,1,0,1,0,0
0,0,1,0,1,0,0.047
0,1,1,0,1,0,0
0,1,1,0,1,1,0
0,0,0,0,0,1,0.147
