CACHE_MODE,ENV_SHARED_CACHE,MAX_MEMORY,TEMPORARY,DUPLICATES,SEQUENTIAL,ENV_IS_LOCKING,time
0,0,0,0,0,0,0,0.029
0,0,1,1,0,0,0,0.026
0,0,0,1,1,1,1,0.021
1,1,0,1,0,0,0,0.026
0,1,0,0,0,1,1,0.029
0,1,0,0,0,1,0,0.024
0,0,1,1,0,0,1,0.019
0,0,0,0,1,0,0,0.026
0,0,1,0,1,0,1,0.021
1,0,0,1,1,1,1,0.026
0,0,1,0,0,1,1,0.018
0,0,1,0,0,1,0,0.021
1,0,0,1,1,1,0,0.029
1,0,1,1,0,0,1,0.024
0,1,0,1,0,0,0,0.018
1,0,1,1,0,0,0,0.029
1,0,0,1,1,0,1,0.034
0,0,1,0,0,0,1,0.021
0,0,0,0,1,0,1,0.024
0,0,0,1,1,1,0,0.029
0,0,0,0,1,1,0,0.024
0,0,1,1,1,0,0,0.024
0,1,0,0,0,0,0,0.024
1,1,0,1,0,1,0,0.024
1,0,1,1,1,0,1,0.029
1,0,0,1,0,1,1,0.034
0,0,1,0,1,1,0,0.029
0,1,0,1,0,1,1,0.018
0,0,0,1,0,1,0,0.029
0,0,1,1,0,1,0,0.024
0,0,0,0,0,0,1,0.027
1,0,1,1,0,1,1,0.037
0,0,0,1,1,0,0,0.021
0,0,1,1,1,1,1,0.029
0,0,0,1,0,0,1,0.018
0,0,1,0,1,0,0,0.021
0,0,1,1,1,1,0,0.024
0,0,0,1,0,0,0,0.021
1,1,0,1,0,0,1,0.032
0,0,0,0,0,1,1,0.026
0,0,0,0,0,1,0,0.026
1,0,1,1,1,1,0,0.037
1,0,0,1,0,0,1,0.018
1,0,1,1,1,1,1,0.032
1,0,0,1,0,0,0,0.026
0,1,0,1,0,0,1,0.026
1,0,0,1,0,1,0,0.021
0,0,1,1,1,0,1,0.026
0,0,0,1,1,0,1,0.029
1,0,1,1,1,0,0,0.037
0,0,1,0,1,1,1,0.024
0,1,0,1,0,1,0,0.024
0,0,0,1,0,1,1,0.026
0,1,0,0,0,0,1,0.024
1,1,0,1,0,1,1,0.034
0,0,1,0,0,0,0,0.026
1,0,0,1,1,0,0,0.034
1,0,1,1,0,1,0,0.029
0,0,0,0,1,1,1,0.024
0,0,1,1,0,1,1,0.029
