CACHE_MODE,MAX_MEMORY,TEMPORARY,DUPLICATES,SEQUENTIAL,ENV_IS_LOCKING,time
0,0,0,0,0,0,0
0,1,1,0,0,0,0
1,1,1,0,1,1,0
0,0,1,1,0,0,0
0,0,1,1,1,1,0
0,1,1,1,1,1,0
0,0,1,0,0,1,0
0,1,0,1,0,0,0
0,1,1,1,1,0,0
0,1,1,0,0,1,0
0,0,1,0,0,0,0
0,0,0,1,0,0,0
0,1,0,1,0,1,0
1,1,1,1,1,0,0
1,0,1,0,0,1,0
1,0,1,1,1,1,0
0,0,0,0,1,0,0
1,1,1,1,1,1,0
0,1,0,0,1,1,0
0,1,0,0,1,0,0
0,0,0,0,1,1,0
1,0,1,1,1,0,0
1,1,1,0,0,0,0
1,0,1,0,0,0,0
1,1,1,0,0,1,0
1,0,1,1,0,1,0
0,1,0,0,0,1,0
1,0,1,0,1,0,0
0,0,0,1,0,1,0
0,1,1,1,0,1,0
0,0,1,1,1,0,0
0,0,1,1,0,1,0
1,1,1,1,0,0,0
0,1,0,1,1,1,0
0,0,0,1,1,0,0
0,0,1,0,1,1,0
0,1,1,1,0,0,0.003
0,1,0,0,0,0,0
1,0,1,1,0,0,0
1,1,1,1,0,1,0
0,1,0,1,1,0,0
1,0,1,0,1,1,0
0,0,0,1,1,1,0
1,1,1,0,1,0,0
0,0,1,0,1,0,0
0,1,1,0,1,0,0
0,1,1,0,1,1,0
0,0,0,0,0,1,0
