CACHE_MODE,MAX_MEMORY,TEMPORARY,DUPLICATES,SEQUENTIAL,ENV_IS_LOCKING,time
0,0,0,0,0,0,0
0,1,1,0,0,0,0
1,1,0,1,1,0,0
1,0,0,0,0,0,0
0,0,1,1,1,1,0
1,1,0,1,0,1,0
1,0,0,1,0,0,0
1,1,0,0,1,0,0
1,1,0,0,1,1,0
0,1,1,0,0,1,0
0,1,0,1,0,1,0
0,0,0,1,0,0,0
1,0,1,1,1,1,0.021
0,1,0,0,1,0,0
0,1,0,0,1,1,0
1,0,1,1,1,0,0.032
1,1,1,0,0,1,0
1,1,1,0,0,0,0
0,1,0,0,0,1,0
1,0,1,1,0,1,0
0,0,0,1,0,1,0
0,0,1,1,1,0,0
0,0,0,1,1,0,0
0,1,1,1,0,0,0
1,1,0,0,0,0,0
1,1,1,1,0,1,0
0,1,0,1,1,0,0
1,0,1,0,1,1,0
1,1,0,1,1,1,0
0,0,1,0,1,0,0
1,0,0,1,1,1,0
0,1,1,0,1,0,0
0,0,0,0,0,1,0
1,1,1,0,1,1,0
0,0,1,1,0,0,0
1,0,0,0,1,1,0
0,1,1,1,1,1,0
0,0,1,0,0,1,0
0,1,0,1,0,0,0
0,1,1,1,1,0,0
1,0,0,0,1,0,0
1,0,0,1,0,1,0
1,1,0,1,0,0,0
0,0,1,0,0,0,0
0,0,0,0,1,0,0
0,0,0,0,1,1,0
1,1,1,1,1,0,0
1,0,1,0,0,1,0.013
1,1,1,1,1,1,0
1,0,1,0,0,0,0.013
1,0,1,0,1,0,0
1,0,0,0,0,1,0
1,1,0,0,0,1,0
0,1,1,1,0,1,0
0,0,1,1,0,1,0
1,1,1,1,0,0,0
0,1,0,1,1,1,0
0,0,1,0,1,1,0
0,1,0,0,0,0,0
1,0,1,1,0,0,0.005
1,1,1,0,1,0,0
0,0,0,1,1,1,0
1,0,0,1,1,0,0
0,1,1,0,1,1,0
