CACHE_MODE,MAX_MEMORY,TEMPORARY,DUPLICATES,SEQUENTIAL,ENV_IS_LOCKING,time
0,0,0,0,0,0,0.016
0,1,1,0,0,0,0.019
1,1,1,0,1,1,0.022
0,0,1,1,0,0,0.019
0,0,1,1,1,1,0.022
0,1,1,1,1,1,0.021
0,0,1,0,0,1,0.012
0,1,0,1,0,0,0.021
0,1,1,1,1,0,0.021
0,1,1,0,0,1,0.017
0,0,1,0,0,0,0.013
0,0,0,1,0,0,0.017
0,1,0,1,0,1,0.021
1,1,1,1,1,0,0.019
1,0,1,0,0,1,0.011
1,0,1,1,1,1,0.019
0,0,0,0,1,0,0.021
1,1,1,1,1,1,0.021
0,1,0,0,1,1,0.021
0,1,0,0,1,0,0.022
0,0,0,0,1,1,0.019
1,0,1,1,1,0,0.021
1,1,1,0,0,0,0.022
1,0,1,0,0,0,0.012
1,1,1,0,0,1,0.022
1,0,1,1,0,1,0.019
0,1,0,0,0,1,0.022
1,0,1,0,1,0,0.021
0,0,0,1,0,1,0.016
0,1,1,1,0,1,0.022
0,0,1,1,1,0,0.019
0,0,1,1,0,1,0.016
1,1,1,1,0,0,0.022
0,1,0,1,1,1,0.021
0,0,0,1,1,0,0.02
0,0,1,0,1,1,0.017
0,1,1,1,0,0,0.022
0,1,0,0,0,0,0.022
1,0,1,1,0,0,0.015
1,1,1,1,0,1,0.021
0,1,0,1,1,0,0.017
1,0,1,0,1,1,0.018
0,0,0,1,1,1,0.021
1,1,1,0,1,0,0.021
0,0,1,0,1,0,0.021
0,1,1,0,1,0,0.021
0,1,1,0,1,1,0.021
0,0,0,0,0,1,0.016
