CACHE_MODE,MAX_MEMORY,TEMPORARY,DUPLICATES,SEQUENTIAL,ENV_IS_LOCKING,time
0,0,0,0,0,0,0.095
0,1,1,0,0,0,0
1,1,1,0,1,1,0.003
0,0,1,1,0,0,0.144
0,0,1,1,1,1,0
0,1,1,1,1,1,0
0,0,1,0,0,1,0.173
0,1,0,1,0,0,0
0,1,1,1,1,0,0
0,1,1,0,0,1,0
0,0,1,0,0,0,0.17
0,0,0,1,0,0,0.076
0,1,0,1,0,1,0
1,1,1,1,1,0,0
1,0,1,0,0,1,0.087
1,0,1,1,1,1,0
0,0,0,0,1,0,0
1,1,1,1,1,1,0.003
0,1,0,0,1,1,0
0,1,0,0,1,0,0
0,0,0,0,1,1,0
1,0,1,1,1,0,0
1,1,1,0,0,0,0.005
1,0,1,0,0,0,0.108
1,1,1,0,0,1,0
1,0,1,1,0,1,0.05
0,1,0,0,0,1,0
1,0,1,0,1,0,0
0,0,0,1,0,1,0.063
0,1,1,1,0,1,0
0,0,1,1,1,0,0
0,0,1,1,0,1,0.139
1,1,1,1,0,0,0.003
0,1,0,1,1,1,0
0,0,0,1,1,0,0
0,0,1,0,1,1,0
0,1,1,1,0,0,0
0,1,0,0,0,0,0
1,0,1,1,0,0,0.068
1,1,1,1,0,1,0
0,1,0,1,1,0,0
1,0,1,0,1,1,0
0,0,0,1,1,1,0
1,1,1,0,1,0,0.003
0,0,1,0,1,0,0
0,1,1,0,1,0,0
0,1,1,0,1,1,0
0,0,0,0,0,1,0.108
