CACHE_MODE,MAX_MEMORY,TEMPORARY,DUPLICATES,SEQUENTIAL,ENV_IS_LOCKING,time
0,0,0,0,0,0,0.034
0,1,1,0,0,0,0
1,1,1,0,1,1,0
0,0,1,1,0,0,0.016
0,0,1,1,1,1,0.011
0,1,1,1,1,1,0
0,0,1,0,0,1,0.128
0,1,0,1,0,0,0.011
0,1,1,1,1,0,0
0,1,1,0,0,1,0
0,0,1,0,0,0,0.105
0,0,0,1,0,0,0
0,1,0,1,0,1,0.005
1,1,1,1,1,0,0
1,0,1,0,0,1,0.118
1,0,1,1,1,1,0.005
0,0,0,0,1,0,0.032
1,1,1,1,1,1,0
0,1,0,0,1,1,0.029
0,1,0,0,1,0,0.026
0,0,0,0,1,1,0.021
1,0,1,1,1,0,0.011
1,1,1,0,0,0,0
1,0,1,0,0,0,0.126
1,1,1,0,0,1,0
1,0,1,1,0,1,0.01
0,1,0,0,0,1,0.021
1,0,1,0,1,0,0.003
0,0,0,1,0,1,0.005
0,1,1,1,0,1,0
0,0,1,1,1,0,0.005
0,0,1,1,0,1,0.016
1,1,1,1,0,0,0
0,1,0,1,1,1,0.034
0,0,0,1,1,0,0.021
0,0,1,0,1,1,0.011
0,1,1,1,0,0,0
0,1,0,0,0,0,0.021
1,0,1,1,0,0,0.011
1,1,1,1,0,1,0
0,1,0,1,1,0,0.026
1,0,1,0,1,1,0.008
0,0,0,1,1,1,0.023
1,1,1,0,1,0,0
0,0,1,0,1,0,0.005
0,1,1,0,1,0,0
0,1,1,0,1,1,0
0,0,0,0,0,1,0.029
