CACHE_MODE,MAX_MEMORY,TEMPORARY,DUPLICATES,SEQUENTIAL,ENV_IS_LOCKING,time
0,0,0,0,0,0,0
0,1,1,0,0,0,0
1,1,1,0,1,1,0
0,0,1,1,0,0,0.037
0,0,1,1,1,1,0
0,1,1,1,1,1,0
0,0,1,0,0,1,0.063
0,1,0,1,0,0,0.005
0,1,1,1,1,0,0
0,1,1,0,0,1,0.003
0,0,1,0,0,0,0.071
0,0,0,1,0,0,0
0,1,0,1,0,1,0.003
1,1,1,1,1,0,0
1,0,1,0,0,1,0
1,0,1,1,1,1,0
0,0,0,0,1,0,0
1,1,1,1,1,1,0
0,1,0,0,1,1,0.003
0,1,0,0,1,0,0.005
0,0,0,0,1,1,0
1,0,1,1,1,0,0
1,1,1,0,0,0,0
1,0,1,0,0,0,0.008
1,1,1,0,0,1,0
1,0,1,1,0,1,0
0,1,0,0,0,1,0
1,0,1,0,1,0,0
0,0,0,1,0,1,0.003
0,1,1,1,0,1,0
0,0,1,1,1,0,0
0,0,1,1,0,1,0.032
1,1,1,1,0,0,0
0,1,0,1,1,1,0
0,0,0,1,1,0,0.003
0,0,1,0,1,1,0
0,1,1,1,0,0,0
0,1,0,0,0,0,0.003
1,0,1,1,0,0,0
1,1,1,1,0,1,0
0,1,0,1,1,0,0
1,0,1,0,1,1,0
0,0,0,1,1,1,0
1,1,1,0,1,0,0
0,0,1,0,1,0,0.003
0,1,1,0,1,0,0
0,1,1,0,1,1,0
0,0,0,0,0,1,0
