CACHE_MODE,MAX_MEMORY,TEMPORARY,DUPLICATES,SEQUENTIAL,ENV_IS_LOCKING,time
0,0,0,0,0,0,0
0,1,1,0,0,0,0.005
1,0,0,0,0,0,0
0,0,1,1,1,1,0.013
1,1,0,0,1,0,0
1,1,0,0,1,1,0
0,1,1,0,0,1,0
0,0,0,1,0,0,0
0,1,0,1,0,1,0
1,0,1,1,1,1,0
0,1,0,0,1,0,0
0,1,0,0,1,1,0
1,0,1,1,1,0,0
1,1,1,0,0,1,0
1,1,1,0,0,0,0
0,1,0,0,0,1,0
1,0,1,1,0,1,0
0,0,0,1,0,1,0
0,0,1,1,1,0,0.018
0,0,0,1,1,0,0
0,1,1,1,0,0,0
1,1,0,0,0,0,0
1,1,1,1,0,1,0
0,1,0,1,1,0,0
1,0,1,0,1,1,0
0,0,1,0,1,0,0.01
0,1,1,0,1,0,0
0,0,0,0,0,1,0
1,1,1,0,1,1,0
0,0,1,1,0,0,0
1,0,0,0,1,1,0
0,1,1,1,1,1,0.018
0,0,1,0,0,1,0
0,1,0,1,0,0,0
0,1,1,1,1,0,0.024
1,0,0,0,1,0,0
0,0,1,0,0,0,0
0,0,0,0,1,0,0
0,0,0,0,1,1,0
1,1,1,1,1,0,0
1,0,1,0,0,1,0
1,1,1,1,1,1,0
1,0,1,0,0,0,0
1,0,1,0,1,0,0
1,0,0,0,0,1,0
1,1,0,0,0,1,0
0,1,1,1,0,1,0
0,0,1,1,0,1,0
1,1,1,1,0,0,0
0,1,0,1,1,1,0
0,0,1,0,1,1,0
0,1,0,0,0,0,0
1,0,1,1,0,0,0
1,1,1,0,1,0,0
0,0,0,1,1,1,0
0,1,1,0,1,1,0
