CACHE_MODE,MAX_MEMORY,TEMPORARY,DUPLICATES,SEQUENTIAL,ENV_IS_LOCKING,time
0,0,0,0,0,0,0.076
0,1,1,0,0,0,0.069
1,1,1,0,1,1,0.187
0,0,1,1,0,0,0.113
0,0,1,1,1,1,0.165
0,1,1,1,1,1,0.191
0,0,1,0,0,1,0.113
0,1,0,1,0,0,0.095
0,1,1,1,1,0,0.164
0,1,1,0,0,1,0.061
0,0,1,0,0,0,0.113
0,0,0,1,0,0,0.079
0,1,0,1,0,1,0.084
1,1,1,1,1,0,0.3
1,0,1,0,0,1,0.226
1,0,1,1,1,1,0.302
0,0,0,0,1,0,0.076
1,1,1,1,1,1,0.281
0,1,0,0,1,1,0.095
0,1,0,0,1,0,0.093
0,0,0,0,1,1,0.095
1,0,1,1,1,0,0.284
1,1,1,0,0,0,0.51
1,0,1,0,0,0,0.221
1,1,1,0,0,1,0.461
1,0,1,1,0,1,0.166
0,1,0,0,0,1,0.101
1,0,1,0,1,0,0.172
0,0,0,1,0,1,0.076
0,1,1,1,0,1,0.092
0,0,1,1,1,0,0.194
0,0,1,1,0,1,0.1
1,1,1,1,0,0,0.308
0,1,0,1,1,1,0.173
0,0,0,1,1,0,0.191
0,0,1,0,1,1,0.073
0,1,1,1,0,0,0.071
0,1,0,0,0,0,0.101
1,0,1,1,0,0,0.163
1,1,1,1,0,1,0.321
0,1,0,1,1,0,0.176
1,0,1,0,1,1,0.199
0,0,0,1,1,1,0.172
1,1,1,0,1,0,0.237
0,0,1,0,1,0,0.074
0,1,1,0,1,0,0.079
0,1,1,0,1,1,0.083
0,0,0,0,0,1,0.063
