CACHE_MODE,MAX_MEMORY,TEMPORARY,DUPLICATES,SEQUENTIAL,ENV_IS_LOCKING,time
0,0,0,0,0,0,0.021
0,1,1,0,0,0,0
1,1,1,0,1,1,0.008
0,0,1,1,0,0,0.06
0,0,1,1,1,1,0
0,1,1,1,1,1,0
0,0,1,0,0,1,0.124
0,1,0,1,0,0,0
0,1,1,1,1,0,0
0,1,1,0,0,1,0
0,0,1,0,0,0,0.137
0,0,0,1,0,0,0.011
0,1,0,1,0,1,0
1,1,1,1,1,0,0.003
1,0,1,0,0,1,0.248
1,0,1,1,1,1,0
0,0,0,0,1,0,0
1,1,1,1,1,1,0.005
0,1,0,0,1,1,0
0,1,0,0,1,0,0
0,0,0,0,1,1,0
1,0,1,1,1,0,0
1,1,1,0,0,0,0.011
1,0,1,0,0,0,0.232
1,1,1,0,0,1,0.011
1,0,1,1,0,1,0.221
0,1,0,0,0,1,0
1,0,1,0,1,0,0.005
0,0,0,1,0,1,0.005
0,1,1,1,0,1,0
0,0,1,1,1,0,0
0,0,1,1,0,1,0.056
1,1,1,1,0,0,0.008
0,1,0,1,1,1,0
0,0,0,1,1,0,0
0,0,1,0,1,1,0.011
0,1,1,1,0,0,0
0,1,0,0,0,0,0.003
1,0,1,1,0,0,0.181
1,1,1,1,0,1,0.003
0,1,0,1,1,0,0
1,0,1,0,1,1,0
0,0,0,1,1,1,0
1,1,1,0,1,0,0.005
0,0,1,0,1,0,0.005
0,1,1,0,1,0,0
0,1,1,0,1,1,0
0,0,0,0,0,1,0.021
