CACHE_MODE,MAX_MEMORY,TEMPORARY,DUPLICATES,SEQUENTIAL,ENV_IS_LOCKING,time
0,0,0,0,0,0,0.073
0,1,1,0,0,0,0.04
1,1,1,0,1,1,0
0,0,1,1,0,0,0.066
0,0,1,1,1,1,0.047
0,1,1,1,1,1,0.055
0,0,1,0,0,1,0.184
0,1,0,1,0,0,0.018
0,1,1,1,1,0,0.06
0,1,1,0,0,1,0.076
0,0,1,0,0,0,0.181
0,0,0,1,0,0,0.029
0,1,0,1,0,1,0.018
1,1,1,1,1,0,0
1,0,1,0,0,1,0.005
1,0,1,1,1,1,0
0,0,0,0,1,0,0.013
1,1,1,1,1,1,0
0,1,0,0,1,1,0.011
0,1,0,0,1,0,0.011
0,0,0,0,1,1,0.016
1,0,1,1,1,0,0.003
1,1,1,0,0,0,0
1,0,1,0,0,0,0.005
1,1,1,0,0,1,0
1,0,1,1,0,1,0
0,1,0,0,0,1,0.016
1,0,1,0,1,0,0
0,0,0,1,0,1,0.037
0,1,1,1,0,1,0.034
0,0,1,1,1,0,0.037
0,0,1,1,0,1,0.068
1,1,1,1,0,0,0
0,1,0,1,1,1,0.005
0,0,0,1,1,0,0.021
0,0,1,0,1,1,0.123
0,1,1,1,0,0,0.031
0,1,0,0,0,0,0.011
1,0,1,1,0,0,0.003
1,1,1,1,0,1,0
0,1,0,1,1,0,0.013
1,0,1,0,1,1,0.003
0,0,0,1,1,1,0.011
1,1,1,0,1,0,0
0,0,1,0,1,0,0.087
0,1,1,0,1,0,0.045
0,1,1,0,1,1,0.045
0,0,0,0,0,1,0.073
