CACHE_MODE,MAX_MEMORY,TEMPORARY,DUPLICATES,SEQUENTIAL,ENV_IS_LOCKING,time
0,0,0,0,0,0,0
0,1,1,0,0,0,0
1,1,1,0,1,1,0
0,0,1,1,0,0,0
0,0,1,1,1,1,0
0,1,1,1,1,1,0
0,0,1,0,0,1,0
0,1,0,1,0,0,0.039
0,1,1,1,1,0,0
0,1,1,0,0,1,0
0,0,1,0,0,0,0
0,0,0,1,0,0,0.071
0,1,0,1,0,1,0.06
1,1,1,1,1,0,0
1,0,1,0,0,1,0
1,0,1,1,1,1,0
0,0,0,0,1,0,0
1,1,1,1,1,1,0
0,1,0,0,1,1,0
0,1,0,0,1,0,0
0,0,0,0,1,1,0
1,0,1,1,1,0,0
1,1,1,0,0,0,0.005
1,0,1,0,0,0,0
1,1,1,0,0,1,0
1,0,1,1,0,1,0
0,1,0,0,0,1,0.003
1,0,1,0,1,0,0
0,0,0,1,0,1,0.073
0,1,1,1,0,1,0.071
0,0,1,1,1,0,0
0,0,1,1,0,1,0
1,1,1,1,0,0,0
0,1,0,1,1,1,0
0,0,0,1,1,0,0
0,0,1,0,1,1,0
0,1,1,1,0,0,0.06
0,1,0,0,0,0,0
1,0,1,1,0,0,0.024
1,1,1,1,0,1,0.053
0,1,0,1,1,0,0
1,0,1,0,1,1,0
0,0,0,1,1,1,0
1,1,1,0,1,0,0.003
0,0,1,0,1,0,0
0,1,1,0,1,0,0
0,1,1,0,1,1,0
0,0,0,0,0,1,0
