CACHE_MODE,MAX_MEMORY,TEMPORARY,DUPLICATES,SEQUENTIAL,ENV_IS_LOCKING,time
0,0,0,0,0,0,0.284
0,1,1,0,0,0,0
1,1,1,0,1,1,0.761
0,0,1,1,0,0,0.142
0,0,1,1,1,1,0.029
0,1,1,1,1,1,0.016
0,0,1,0,0,1,0.121
0,1,0,1,0,0,0.008
0,1,1,1,1,0,0.037
0,1,1,0,0,1,0.005
0,0,1,0,0,0,0.105
0,0,0,1,0,0,0.907
0,1,0,1,0,1,0.008
1,1,1,1,1,0,0.834
1,0,1,0,0,1,0.391
1,0,1,1,1,1,0.674
0,0,0,0,1,0,0.008
1,1,1,1,1,1,0.692
0,1,0,0,1,1,0.005
0,1,0,0,1,0,0.003
0,0,0,0,1,1,0.008
1,0,1,1,1,0,0.766
1,1,1,0,0,0,0.384
1,0,1,0,0,0,0.352
1,1,1,0,0,1,0.54
1,0,1,1,0,1,0.483
0,1,0,0,0,1,0.003
1,0,1,0,1,0,0.715
0,0,0,1,0,1,0.947
0,1,1,1,0,1,0.026
0,0,1,1,1,0,0.013
0,0,1,1,0,1,0.136
1,1,1,1,0,0,0.953
0,1,0,1,1,1,0.011
0,0,0,1,1,0,0.008
0,0,1,0,1,1,0.011
0,1,1,1,0,0,0.021
0,1,0,0,0,0,0
1,0,1,1,0,0,0.485
1,1,1,1,0,1,0.967
0,1,0,1,1,0,0.005
1,0,1,0,1,1,0.71
0,0,0,1,1,1,0.013
1,1,1,0,1,0,0.528
0,0,1,0,1,0,0.01
0,1,1,0,1,0,0.01
0,1,1,0,1,1,0.011
0,0,0,0,0,1,0.296
