CACHE_MODE,ENV_SHARED_CACHE,MAX_MEMORY,TEMPORARY,DUPLICATES,SEQUENTIAL,ENV_IS_LOCKING,time
0,0,0,0,0,0,0,0.103
0,0,1,1,0,0,0,0.016
0,0,0,1,1,1,1,0.047
1,1,0,1,0,0,0,0.308
0,1,0,0,0,1,1,0.04
0,1,0,0,0,1,0,0.026
0,0,1,1,0,0,1,0.016
0,0,0,0,1,0,0,0.074
0,0,1,0,1,0,1,0.037
1,0,0,1,1,1,1,0.011
0,0,1,0,0,1,1,0.019
0,0,1,0,0,1,0,0.019
1,0,0,1,1,1,0,0
1,0,1,1,0,0,1,0
0,1,0,1,0,0,0,0.411
1,0,1,1,0,0,0,0
1,0,0,1,1,0,1,0.158
0,0,1,0,0,0,1,0.037
0,0,0,0,1,0,1,0.066
0,0,0,1,1,1,0,0.032
0,0,0,0,1,1,0,0.029
0,0,1,1,1,0,0,0.032
0,1,0,0,0,0,0,0.103
1,1,0,1,0,1,0,0.008
1,0,1,1,1,0,1,0
1,0,0,1,0,1,1,0.011
0,0,1,0,1,1,0,0.019
0,1,0,1,0,1,1,0.1
0,0,0,1,0,1,0,0.1
0,0,1,1,0,1,0,0.013
0,0,0,0,0,0,1,0.113
1,0,1,1,0,1,1,0
0,0,0,1,1,0,0,0.37
0,0,1,1,1,1,1,0.026
0,0,0,1,0,0,1,0.408
0,0,1,0,1,0,0,0.037
0,0,1,1,1,1,0,0.047
0,0,0,1,0,0,0,0.467
1,1,0,1,0,0,1,0.318
0,0,0,0,0,1,1,0.045
0,0,0,0,0,1,0,0.047
1,0,1,1,1,1,0,0
1,0,0,1,0,0,1,0.316
1,0,1,1,1,1,1,0.003
1,0,0,1,0,0,0,0.313
0,1,0,1,0,0,1,0.478
1,0,0,1,0,1,0,0.005
0,0,1,1,1,0,1,0.037
0,0,0,1,1,0,1,0.354
1,0,1,1,1,0,0,0
0,0,1,0,1,1,1,0.016
0,1,0,1,0,1,0,0.108
0,0,0,1,0,1,1,0.126
0,1,0,0,0,0,1,0.11
1,1,0,1,0,1,1,0.011
0,0,1,0,0,0,0,0.047
1,0,0,1,1,0,0,0.165
1,0,1,1,0,1,0,0
0,0,0,0,1,1,1,0.039
0,0,1,1,0,1,1,0.013
