CACHE_MODE,ENV_SHARED_CACHE,MAX_MEMORY,TEMPORARY,DUPLICATES,SEQUENTIAL,ENV_IS_LOCKING,time
0,0,0,0,0,0,0,0.326
0,1,0,0,1,1,0,0.037
1,0,1,0,1,1,0,0
1,1,1,1,0,1,0,0
1,0,0,0,0,0,0,0.542
1,1,0,0,1,1,0,0.037
0,1,0,0,0,1,1,0.047
1,0,1,0,0,1,1,0
0,0,1,1,0,0,1,0
0,1,1,1,1,1,1,0
1,0,0,1,1,1,0,0.011
0,0,1,0,0,1,1,0
1,0,1,1,0,0,1,0
0,0,1,0,0,0,1,0
0,1,1,0,1,1,1,0
0,0,0,0,1,0,1,0.29
1,1,1,1,1,1,1,0
1,1,0,0,1,0,0,0.327
0,0,0,1,1,1,0,0.021
1,1,0,0,0,0,1,0.552
0,0,1,1,1,0,0,0
0,0,1,0,1,1,0,0
1,0,0,1,0,1,1,0.021
0,1,1,1,1,0,1,0
1,1,0,1,1,0,0,0.063
0,0,0,1,1,0,0,0.324
1,1,0,1,1,1,0,0.016
1,1,1,0,0,1,0,0
1,1,1,0,1,0,0,0
0,1,0,1,1,1,0,0.016
0,0,0,1,0,0,0,0.26
1,1,0,1,0,0,1,0.071
1,1,0,1,1,1,1,0.011
1,0,1,1,1,1,0,0
0,0,0,0,0,1,1,0.037
1,0,0,1,0,0,1,0.039
0,1,1,1,0,0,0,0
1,0,0,1,0,0,0,0.045
0,1,0,1,0,0,1,0.308
1,1,1,0,0,0,0,0
1,0,0,1,0,1,0,0.021
0,1,1,1,1,0,0,0
1,1,0,0,0,0,0,0.573
1,0,1,1,1,0,0,0
0,0,1,0,1,1,1,0
0,1,0,1,0,1,0,0.027
1,1,1,1,0,1,1,0
1,1,0,1,0,1,1,0.048
1,0,0,1,1,0,0,0.058
1,0,1,1,0,1,0,0
0,0,0,0,1,1,1,0.032
0,1,1,1,0,1,0,0
0,1,0,1,1,0,0,0.259
1,1,0,1,1,0,1,0.063
1,1,1,1,1,0,1,0
0,1,1,1,1,1,0,0
0,0,1,1,0,0,0,0
0,0,0,1,1,1,1,0.021
1,1,0,0,1,0,1,0.411
1,1,0,0,0,1,0,0.08
1,0,1,0,1,0,1,0
1,0,0,0,1,0,0,0.316
1,1,1,1,0,0,1,0
1,1,0,1,0,0,0,0.071
1,0,1,0,0,1,0,0
0,1,0,0,0,1,0,0.032
0,0,0,0,1,0,0,0.331
0,0,1,0,1,0,1,0
1,1,1,1,1,1,0,0
1,0,0,1,1,1,1,0.005
0,0,1,0,0,1,0,0
0,1,0,0,1,0,1,0.347
0,1,1,1,0,0,1,0
0,1,0,1,0,0,0,0.333
1,0,1,1,0,0,0,0
1,0,0,1,1,0,1,0.047
0,1,1,0,0,0,0,0
0,0,0,0,1,1,0,0.031
1,1,1,0,1,1,0,0
0,1,1,1,0,1,1,0
0,1,0,1,1,0,1,0.352
1,0,1,0,0,0,0,0
0,1,0,0,0,0,0,0.462
1,1,0,1,0,1,0,0.058
1,0,1,1,1,0,1,0
0,1,0,1,0,1,1,0.027
0,0,0,1,0,1,0,0.024
1,0,1,0,1,1,1,0
0,1,0,0,1,1,1,0.047
1,0,0,0,1,1,1,0.026
0,0,1,1,0,1,0,0
1,1,1,1,1,0,0,0
0,0,0,0,0,0,1,0.315
0,1,1,0,0,1,0,0
1,0,1,1,0,1,1,0
1,1,1,0,1,0,1,0
1,0,0,0,0,1,1,0.089
0,0,1,1,1,1,1,0
1,1,1,0,0,0,1,0
0,1,0,1,1,1,1,0.042
0,0,0,1,0,0,1,0.247
0,0,1,0,1,0,0,0
0,1,1,0,0,1,1,0
1,0,0,0,0,1,0,0.074
0,0,1,1,1,1,0,0
1,0,0,0,1,0,1,0.304
1,1,1,1,0,0,0,0
1,0,1,0,1,0,0,0
1,0,1,1,1,1,1,0
0,0,0,0,0,1,0,0.022
0,1,1,0,1,0,1,0
0,1,0,0,1,0,0,0.394
0,1,1,0,1,0,0,0
1,1,0,0,1,1,1,0.047
1,0,0,0,0,0,1,0.525
1,0,1,0,0,0,1,0
0,0,1,1,1,0,1,0
1,1,1,0,1,1,1,0
0,0,0,1,1,0,1,0.231
1,1,0,0,0,1,1,0.058
1,1,1,0,0,1,1,0
0,0,0,1,0,1,1,0.029
0,1,1,0,0,0,1,0
0,1,0,0,0,0,1,0.388
0,0,1,0,0,0,0,0
0,1,1,0,1,1,0,0
1,0,0,0,1,1,0,0.047
0,0,1,1,0,1,1,0
