CACHE_MODE,MAX_MEMORY,TEMPORARY,DUPLICATES,SEQUENTIAL,ENV_IS_LOCKING,time
0,0,0,0,0,0,0
0,1,1,0,0,0,0.018
1,1,1,0,1,1,0.444
0,0,1,1,0,0,0.121
0,0,1,1,1,1,0.016
0,1,1,1,1,1,0.018
0,0,1,0,0,1,0.176
0,1,0,1,0,0,0
0,1,1,1,1,0,0.021
0,1,1,0,0,1,0.032
0,0,1,0,0,0,0.157
0,0,0,1,0,0,0
0,1,0,1,0,1,0
1,1,1,1,1,0,0.207
1,0,1,0,0,1,0.35
1,0,1,1,1,1,0.22
0,0,0,0,1,0,0
1,1,1,1,1,1,0.255
0,1,0,0,1,1,0
0,1,0,0,1,0,0
0,0,0,0,1,1,0
1,0,1,1,1,0,0.237
1,1,1,0,0,0,0.522
1,0,1,0,0,0,0.34
1,1,1,0,0,1,0.567
1,0,1,1,0,1,0.285
0,1,0,0,0,1,0
1,0,1,0,1,0,0.483
0,0,0,1,0,1,0
0,1,1,1,0,1,0.021
0,0,1,1,1,0,0.016
0,0,1,1,0,1,0.144
1,1,1,1,0,0,0.26
0,1,0,1,1,1,0
0,0,0,1,1,0,0
0,0,1,0,1,1,0.019
0,1,1,1,0,0,0.016
0,1,0,0,0,0,0
1,0,1,1,0,0,0.268
1,1,1,1,0,1,0.273
0,1,0,1,1,0,0
1,0,1,0,1,1,0.465
0,0,0,1,1,1,0
1,1,1,0,1,0,0.425
0,0,1,0,1,0,0.018
0,1,1,0,1,0,0.011
0,1,1,0,1,1,0.018
0,0,0,0,0,1,0
