ENV_SHARED_CACHE,MAX_MEMORY,TEMPORARY,DUPLICATES,SEQUENTIAL,ENV_IS_LOCKING,time
0,0,0,0,0,0,0.313
0,1,1,0,0,0,0
0,0,1,1,0,0,0.759
0,0,1,1,1,1,0
0,1,1,1,1,1,0
0,0,1,0,0,1,0.589
0,1,0,1,0,0,0
1,0,0,0,1,1,0
1,0,0,0,1,0,0
0,1,1,1,1,0,0
0,1,1,0,0,1,0
0,0,1,0,0,0,0.604
0,0,0,1,0,0,0.367
0,1,0,1,0,1,0
0,0,0,0,1,1,0
0,0,0,0,1,0,0
0,1,0,0,1,1,0
0,1,0,0,1,0,0
1,0,1,0,0,1,0.591
1,0,1,0,0,0,0.586
0,1,0,0,0,1,0
0,0,0,1,0,1,0.36
0,1,1,1,0,1,0
0,0,1,1,1,0,0
0,0,1,1,0,1,0.736
0,1,0,1,1,1,0
0,0,0,1,1,0,0
1,0,1,0,1,0,0
0,0,1,0,1,1,0
0,1,1,1,0,0,0
1,0,0,0,0,0,0.31
1,0,0,0,0,1,0.326
0,1,0,0,0,0,0
0,1,0,1,1,0,0
0,0,0,1,1,1,0
1,0,1,0,1,1,0
0,0,1,0,1,0,0
0,1,1,0,1,1,0
0,1,1,0,1,0,0
0,0,0,0,0,1,0.328
