CACHE_SIZE,PAGE_SIZE,AUTOCOMMIT,FILE_LOCK,MV_STORE,DEFRAG_ALWAYS,time
0,0,0,0,0,0,0
0,1,0,0,1,1,0
1,1,0,1,1,1,0
1,1,1,0,0,0,0
1,0,0,1,0,0,0
0,1,1,0,1,1,0
1,1,1,1,1,1,0
0,1,1,1,0,1,0.64
0,1,1,0,1,0,0
1,1,0,1,1,0,0
0,0,1,1,1,1,0
1,1,1,1,1,0,0
1,0,1,1,0,0,0
0,0,0,1,1,1,0
1,1,0,0,0,0,0.011
0,0,0,0,0,1,0.149
1,0,0,1,1,1,0
1,1,1,0,0,1,0.64
1,0,0,0,1,0,0
1,1,1,0,1,1,0
1,0,0,1,0,1,0.171
1,1,0,1,0,0,0
0,1,0,1,0,1,0.588
0,0,0,0,1,1,0
0,1,0,0,1,0,0
1,0,0,0,0,1,0.136
0,0,1,1,1,0,0
0,0,1,1,0,0,0
0,1,0,0,0,0,0
0,0,1,0,0,0,0
1,1,1,0,1,0,0
0,1,0,1,1,0,0
1,1,0,1,0,1,0.667
0,1,0,0,0,1,0.628
1,1,0,0,1,0,0
1,0,0,1,1,0,0
1,1,1,1,0,1,0.63
0,0,1,1,0,1,0.143
0,0,0,0,1,0,0
0,0,0,1,0,1,0.212
1,0,1,1,1,0,0
1,1,1,1,0,0,0
1,0,0,0,1,1,0
0,1,1,1,1,1,0
0,1,0,1,0,0,0
1,0,0,0,0,0,0
0,0,1,0,1,0,0
0,1,0,1,1,1,0
1,0,1,0,1,1,0
0,1,1,0,0,1,0.666
0,0,1,0,1,1,0
1,0,1,0,1,0,0
1,0,1,1,0,1,0.171
1,0,1,0,0,0,0
0,1,1,1,1,0,0
0,0,1,0,0,1,0.132
1,1,0,0,1,1,0
0,0,0,1,0,0,0
1,0,1,1,1,1,0
0,1,1,1,0,0,0
1,0,1,0,0,1,0.172
0,0,0,1,1,0,0
1,1,0,0,0,1,0.587
0,1,1,0,0,0,0
