CACHE_SIZE,PAGE_SIZE,AUTOCOMMIT,FILE_LOCK,MV_STORE,DEFRAG_ALWAYS,time
1,1,0,1,0,1,0.093
0,0,0,0,0,0,0.089
0,1,0,0,0,1,0.082
1,1,1,1,0,1,0.091
0,0,1,1,0,1,0.087
0,0,0,0,1,0,0.082
0,0,0,1,0,1,0.087
0,1,1,1,0,1,0.083
0,1,0,1,0,0,0.089
0,0,1,0,1,0,0.082
0,1,1,0,0,1,0.082
0,0,0,0,0,1,0.091
1,0,1,1,0,1,0.086
0,0,1,0,0,1,0.081
1,1,1,0,0,1,0.098
1,0,0,1,0,1,0.094
0,1,0,1,0,1,0.092
0,0,0,1,0,0,0.091
0,1,1,1,0,0,0.094
1,0,1,0,0,1,0.076
1,0,0,0,0,1,0.091
0,0,1,1,0,0,0.085
0,1,0,0,0,0,0.09
0,0,1,0,0,0,0.09
1,1,0,0,0,1,0.076
0,1,1,0,0,0,0.09
